Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Source1.EntityArrivals' is '0' Hours.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,--,--,--,--,Time until next event of timer 'Source1.EntityArrivals' is '0.00655278052637456' Hours.
0,Source1,Source1,0.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' execution started.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'DefaultEntity'.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Created object 'DefaultEntity.11'.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.11' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,0.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' execution started.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.11' ending transfer into station 'Source1.Processing'.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.11' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' execution started.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.11' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.11' transferring from '[Node] Output@Source1' onto link 'Path1'.
0,DefaultEntity.11,Path1,3.OnEntered,[Begin],Process 'Path1.OnEntered' execution started.
0,DefaultEntity.11,Path1,3.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'DefaultEntity.11.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0,DefaultEntity.11,Path1,3.OnEntered,[EndTransfer] OntoPath,Entity 'DefaultEntity.11' ending transfer onto link 'Path1'.
0,DefaultEntity.11,Path1,3.OnEntered,[End],Process 'Path1.OnEntered' execution ended.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[End],Process 'Source1.OnEnteredProcessing' execution ended.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[End],Process 'Source1.OnEnteredOutputBuffer' execution ended.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[End],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
9.92063492063492E-05,DefaultEntity.11,Output@Source1,1.OnExited,[Begin],Process 'Output@Source1.OnExited' execution started.
